timestamp,open,high,low,close,volume,close_time,quote_av,trades,tb_base_av,tb_quote_av,ignore
2019-09-08 16:00:00,10000.0,10357.53,10000.0,10340.12,471.661,1567972799999,4879792.35634,564,0.001,0.0001,0
2019-09-08 20:00:00,10340.12,10412.65,10324.77,10391.63,2624.63,1567987199999,27216488.09363,3190,0.038,393.35617,0
2019-09-09 00:00:00,10316.62,10316.68,10267.37,10297.89,779.449,1568001599999,8030850.10361,901,0.0,0.0,0
2019-09-09 04:00:00,10297.89,10316.34,10092.71,10149.47,2664.789,1568015999999,27367282.58431,3119,0.001,10.30921,0
2019-09-09 08:00:00,10149.47,10475.54,10077.22,10414.6,2466.485,1568030399999,25213737.33169,2424,280.132,2915767.40724,0
2019-09-09 12:00:00,10411.7,10411.7,10302.69,10314.26,3386.015,1568044799999,35043489.79263,1738,1754.471,18158454.28236,0
2019-09-09 16:00:00,10314.26,10333.55,10183.31,10308.87,3915.329,1568059199999,40190487.45874,1917,2254.79,23146750.00995,0
2019-09-09 20:00:00,10307.8,10420.65,10228.28,10307.0,1612.306,1568073599999,16601362.30055,1197,1163.057,11976413.21315,0
2019-09-10 00:00:00,10307.0,10382.97,10266.61,10307.25,1547.455,1568087999999,15983811.89959,1752,1300.905,13435749.74522,0
2019-09-10 04:00:00,10309.17,10329.24,10226.81,10272.46,1706.083,1568102399999,17540641.00176,1721,1597.677,16427196.98788,0
2019-09-10 08:00:00,10271.93,10290.01,10206.87,10254.56,1409.001,1568116799999,14445455.44815,1321,1238.489,12697733.9241,0
2019-09-10 12:00:00,10252.7,10270.58,10167.91,10179.1,1529.81,1568131199999,15638144.3414,1880,789.738,8076091.04754,0
2019-09-10 16:00:00,10172.13,10237.41,9940.87,10026.56,1413.946,1568145599999,14376866.27488,1649,824.835,8402203.09881,0
2019-09-10 20:00:00,10021.49,10127.22,9991.73,10102.02,1462.66,1568159999999,14732726.20892,1766,643.818,6487382.14752,0
2019-09-11 00:00:00,10094.27,10293.11,10051.0,10093.88,1377.981,1568174399999,13945812.34089,1601,813.921,8241336.64843,0
2019-09-11 04:00:00,10091.53,10097.65,9884.31,10067.46,1416.504,1568188799999,14209889.67039,1782,660.964,6630542.08258,0
2019-09-11 08:00:00,10068.41,10138.01,9988.69,10070.53,1031.664,1568203199999,10375018.90573,1531,928.72,9339750.10778,0
2019-09-11 12:00:00,10062.34,10101.38,9973.15,9991.84,1826.186,1568217599999,18315055.37735,2599,1296.895,13008860.99951,0
2019-09-11 16:00:00,9992.18,10123.29,9934.11,10077.6,2623.529,1568231999999,26394315.18488,3343,1995.336,20077711.60471,0
2019-09-11 20:00:00,10073.64,10184.66,10064.11,10159.55,2622.058,1568246399999,26546144.3605,2955,2028.606,20542958.25644,0
2019-09-12 00:00:00,10163.06,10205.46,10085.88,10113.43,2704.325,1568260799999,27405923.08543,3196,2252.247,22824514.31054,0
2019-09-12 04:00:00,10116.97,10129.19,10042.12,10078.96,2502.598,1568275199999,25224801.36655,2899,1766.065,17805936.36075,0
2019-09-12 08:00:00,10079.76,10187.9,10076.95,10170.93,2531.512,1568289599999,25668876.09134,3296,2024.341,20525494.27633,0
2019-09-12 12:00:00,10170.0,10365.15,10170.0,10326.58,2529.0,1568303999999,25983437.44291,3695,1756.385,18033396.93444,0
2019-09-12 16:00:00,10327.25,10349.91,10239.42,10308.8,2724.169,1568318399999,28048678.81225,3453,1102.982,11360386.24458,0
2019-09-12 20:00:00,10301.82,10450.13,10300.85,10415.13,2618.03,1568332799999,27162520.63566,3521,1215.778,12610932.35765,0
2019-09-13 00:00:00,10414.96,10440.55,10329.3,10364.64,2483.692,1568347199999,25761224.66985,3203,1877.255,19469032.02095,0
2019-09-13 04:00:00,10364.82,10399.81,10267.89,10284.03,3589.585,1568361599999,37017450.69898,4958,2332.348,24046043.80237,0
2019-09-13 08:00:00,10283.68,10327.14,10251.99,10306.52,3343.982,1568375999999,34420861.64586,5269,1344.156,13835847.43378,0
2019-09-13 12:00:00,10306.52,10344.0,10270.0,10296.57,3556.49,1568390399999,36644392.93332,4966,1326.032,13661227.79663,0
2019-09-13 16:00:00,10294.81,10310.08,10186.34,10210.25,3278.396,1568404799999,33557948.70358,5539,1520.873,15553333.38764,0
2019-09-13 20:00:00,10210.25,10355.85,10153.51,10341.34,3000.576,1568419199999,30803523.15328,5314,1316.464,13517577.61085,0
2019-09-14 00:00:00,10343.01,10353.72,10267.08,10280.77,3297.903,1568433599999,33972015.4986,4872,1349.157,13901814.14608,0
2019-09-14 04:00:00,10280.58,10330.61,10259.75,10316.67,2973.282,1568447999999,30594570.79234,5158,1215.373,12516021.05174,0
2019-09-14 08:00:00,10319.07,10348.0,10287.53,10291.93,3337.285,1568462399999,34400630.72808,4634,1917.778,19777159.14697,0
2019-09-14 12:00:00,10292.13,10396.4,10222.77,10358.0,4138.968,1568476799999,42702660.29919,5977,2441.817,25216215.61741,0
2019-09-14 16:00:00,10355.61,10398.0,10325.41,10363.8,3532.679,1568491199999,36613387.58213,4802,1269.01,13150730.33502,0
2019-09-14 20:00:00,10363.63,10419.97,10317.39,10332.25,3376.507,1568505599999,34987245.43519,4993,1329.412,13785119.66561,0
2019-09-15 00:00:00,10333.47,10359.2,10024.81,10303.39,3539.363,1568519999999,36519047.17907,4506,1051.235,10854948.95043,0
2019-09-15 04:00:00,10302.49,10326.59,10273.21,10308.96,3019.367,1568534399999,31117844.68556,4040,775.19,7991443.18735,0
2019-09-15 08:00:00,10308.08,10320.0,10268.55,10296.63,3250.042,1568548799999,33462224.12991,4436,818.878,8430902.80104,0
2019-09-15 12:00:00,10296.54,10317.29,10252.28,10306.37,3755.871,1568563199999,38627124.70962,4735,2174.991,22364565.4078,0
2019-09-15 16:00:00,10306.79,10332.61,10280.14,10294.68,3603.548,1568577599999,37114189.27613,4183,1965.276,20249960.93425,0
2019-09-15 20:00:00,10294.46,10316.45,10265.32,10302.22,3368.064,1568591999999,34672116.05778,4012,644.591,6635620.81895,0
2019-09-16 00:00:00,10302.0,10353.81,10300.0,10300.07,3490.788,1568606399999,36056365.49702,4217,1370.645,14153169.34321,0
2019-09-16 04:00:00,10300.24,10325.0,10279.69,10302.3,3131.662,1568620799999,32271850.65049,3971,731.083,7534607.68242,0
2019-09-16 08:00:00,10301.95,10316.71,10275.74,10282.74,3112.623,1568635199999,32062949.75518,4340,913.353,9408740.44234,0
2019-09-16 12:00:00,10282.03,10282.03,10115.0,10120.07,3548.878,1568649599999,36033905.24281,8307,1939.428,19691886.79103,0
2019-09-16 16:00:00,10117.4,10160.39,10080.7,10124.17,3419.057,1568663999999,34658156.40572,4859,952.387,9651691.70341,0
2019-09-16 20:00:00,10120.37,10329.38,10119.29,10249.27,3482.629,1568678399999,35684265.12061,6143,1047.686,10737400.17687,0
2019-09-17 00:00:00,10257.3,10261.36,10175.2,10224.09,3556.014,1568692799999,36339294.86991,4817,1283.377,13115425.68559,0
2019-09-17 04:00:00,10225.02,10230.79,10165.0,10201.89,3853.531,1568707199999,39303621.66615,4883,1200.905,12247301.44536,0
2019-09-17 08:00:00,10202.92,10205.81,10136.77,10163.0,3791.041,1568721599999,38561567.01783,5184,2842.765,28910740.51623,0
2019-09-17 12:00:00,10162.7,10244.27,10151.62,10201.14,3859.972,1568735999999,39383953.57784,5980,2044.663,20857243.56702,0
2019-09-17 16:00:00,10201.09,10262.49,10200.39,10255.91,3683.462,1568750399999,37710249.01969,5454,2665.533,27290031.39014,0
2019-09-17 20:00:00,10256.52,10270.63,10171.37,10186.52,3775.587,1568764799999,38612862.03134,5217,2631.866,26915327.22106,0
2019-09-18 00:00:00,10183.87,10256.65,10183.87,10206.05,3573.478,1568779199999,36523512.52026,4442,2794.148,28556421.5722,0
2019-09-18 04:00:00,10206.02,10228.41,10185.6,10198.54,3431.504,1568793599999,35025031.49672,4443,2430.839,24810444.31782,0
2019-09-18 08:00:00,10199.39,10199.47,10150.0,10156.12,3257.517,1568807999999,33154877.43444,5193,2147.998,21863430.3186,0
2019-09-18 12:00:00,10156.7,10210.0,10097.92,10172.91,4003.08,1568822399999,40719599.73064,5691,1726.281,17563836.13517,0
2019-09-18 16:00:00,10172.84,10212.25,10132.51,10171.17,3340.706,1568836799999,34029449.75358,5469,2337.695,23814647.6034,0
2019-09-18 20:00:00,10172.65,10211.9,10143.0,10155.16,3226.61,1568851199999,32857284.08124,5561,2027.242,20641817.62139,0
2019-09-19 00:00:00,10154.7,10185.55,9530.02,9821.97,4653.142,1568865599999,46543025.13203,9426,1880.367,18871342.37243,0
